Time, Open, High, Low, Close, Volume
1561766400, 0.040000, 0.082500, 0.035100, 0.079000, 158687781.487296
1561852800, 0.079000, 0.118000, 0.078570, 0.101200, 111483940.269223
1561939200, 0.101380, 0.104860, 0.072000, 0.084120, 59122073.681186
1562025600, 0.084130, 0.104980, 0.076030, 0.099890, 42791466.804597
1562112000, 0.099830, 0.115590, 0.088800, 0.110900, 49898541.495376
1562198400, 0.110890, 0.188150, 0.106270, 0.165030, 121215908.615782
1562284800, 0.165090, 0.423570, 0.146110, 0.389990, 167843773.369872
1562371200, 0.387060, 0.642850, 0.232100, 0.250000, 234178091.999870
1562457600, 0.249970, 0.358910, 0.214280, 0.331450, 154739911.815950
1562544000, 0.331450, 0.347860, 0.268000, 0.274000, 53805942.492901
1562630400, 0.273120, 0.290200, 0.241400, 0.259590, 53199557.431424
1562716800, 0.259060, 0.308360, 0.250000, 0.276830, 41927951.254496
1562803200, 0.276800, 0.318750, 0.258570, 0.299570, 33343205.243165
1562889600, 0.299380, 0.450000, 0.297820, 0.438000, 81760191.259644
1562976000, 0.437170, 0.488000, 0.354220, 0.487000, 98608933.572656
1563062400, 0.487000, 0.495200, 0.357140, 0.372000, 72097889.541489
1563148800, 0.372000, 0.383060, 0.291110, 0.370200, 64704422.562023
1563235200, 0.371390, 0.420000, 0.320000, 0.336240, 53462087.893275
1563321600, 0.336240, 0.336240, 0.336240, 0.336240, 0.000000
1563408000, 0.336240, 0.336240, 0.336240, 0.336240, 0.000000
1563494400, 0.336240, 0.336240, 0.336240, 0.336240, 0.000000
1563580800, 0.336240, 0.336240, 0.336240, 0.336240, 0.000000
1563667200, 0.336240, 0.336240, 0.336240, 0.336240, 0.000000
1563753600, 0.272540, 0.274850, 0.241600, 0.248180, 7569811.669874
1563840000, 0.271000, 0.287140, 0.254280, 0.258000, 17389171.205114
1563926400, 0.258140, 0.267000, 0.244970, 0.258140, 11654941.683579
1564012800, 0.256910, 0.271000, 0.250710, 0.258880, 8971399.504764
1564099200, 0.258910, 0.264000, 0.250710, 0.256890, 4451138.196598
1564185600, 0.256910, 0.265000, 0.206380, 0.217880, 16875756.932429
1564272000, 0.217920, 0.225170, 0.201420, 0.216850, 12978054.171975
1564358400, 0.217520, 0.224440, 0.213000, 0.219650, 10172282.894543
1564444800, 0.219650, 0.219860, 0.212000, 0.214200, 6153595.258374
1564531200, 0.214200, 0.267000, 0.213010, 0.265710, 27218158.338968
1564617600, 0.265680, 0.273040, 0.238010, 0.246900, 15928198.722345
1564704000, 0.247940, 0.257740, 0.240000, 0.247340, 9644076.719876
1564790400, 0.247340, 0.254400, 0.245720, 0.254400, 5470897.134474
1564876800, 0.254510, 0.256720, 0.241120, 0.248470, 6220452.752123
1564963200, 0.248500, 0.252850, 0.244790, 0.245990, 5531356.036496
1565049600, 0.245960, 0.249800, 0.235110, 0.239760, 5200405.014797
1565136000, 0.239770, 0.240930, 0.215710, 0.231120, 10195572.363549
1565222400, 0.231060, 0.231920, 0.219550, 0.226000, 4138470.443458
1565308800, 0.226040, 0.228510, 0.203030, 0.204070, 6714191.741248
1565395200, 0.204060, 0.224000, 0.201280, 0.213430, 7523269.152296
1565481600, 0.213430, 0.216290, 0.207000, 0.215300, 3880518.325607
1565568000, 0.215260, 0.219680, 0.206160, 0.210720, 2973553.658223
1565654400, 0.210710, 0.215140, 0.195180, 0.199750, 5322122.823528
1565740800, 0.200000, 0.201000, 0.135010, 0.152760, 35120140.830882
1565827200, 0.153470, 0.162260, 0.142850, 0.159180, 9452235.246985
1565913600, 0.159170, 0.159440, 0.147410, 0.152390, 4172179.901932
1566000000, 0.152430, 0.155030, 0.148570, 0.150490, 2661049.481615
1566086400, 0.150530, 0.152000, 0.137970, 0.146050, 8497599.256098
1566172800, 0.146000, 0.154160, 0.143140, 0.150360, 5279137.556812
1566259200, 0.150340, 0.152820, 0.141000, 0.145660, 4582240.373016
1566345600, 0.145650, 0.145980, 0.116720, 0.123030, 11964455.341256
1566432000, 0.123020, 0.145890, 0.117280, 0.132320, 11313920.590614
1566518400, 0.132680, 0.134400, 0.121080, 0.126690, 9056655.149172
1566604800, 0.126720, 0.129920, 0.118190, 0.120060, 3944514.713093
1566691200, 0.120230, 0.128570, 0.112000, 0.118370, 5397002.717677
1566777600, 0.119040, 0.122850, 0.117010, 0.119360, 4428485.747530
1566864000, 0.117690, 0.119640, 0.102280, 0.104710, 7059559.692329
1566950400, 0.104720, 0.110000, 0.091400, 0.091710, 8019659.145757
1567036800, 0.091700, 0.092640, 0.074500, 0.078560, 19734977.991617
1567123200, 0.078640, 0.152000, 0.075200, 0.137940, 55929605.416107
1567209600, 0.138400, 0.195570, 0.137870, 0.170320, 63133602.227235
1567296000, 0.170310, 0.171200, 0.105000, 0.122410, 49788950.557888
1567382400, 0.121700, 0.156570, 0.114420, 0.153790, 31121908.854435
1567468800, 0.153450, 0.153650, 0.135710, 0.135880, 17019192.750845
1567555200, 0.135710, 0.142090, 0.124430, 0.139670, 17664767.043843
1567641600, 0.139180, 0.155410, 0.136970, 0.149440, 29926118.281896
1567728000, 0.149310, 0.152180, 0.135800, 0.138630, 12748606.899168
1567814400, 0.138610, 0.147990, 0.136580, 0.145110, 6952901.431789
1567900800, 0.145110, 0.152750, 0.142000, 0.144300, 12173107.126378
1567987200, 0.144300, 0.146070, 0.135110, 0.141230, 15393722.764253
1568073600, 0.141230, 0.147000, 0.138590, 0.143400, 10388143.847658
1568160000, 0.143370, 0.143690, 0.132860, 0.140630, 8083838.195911
1568246400, 0.140500, 0.140740, 0.123530, 0.127700, 9026363.598598
1568332800, 0.127740, 0.152000, 0.125380, 0.139460, 18343469.004070
1568419200, 0.139490, 0.150710, 0.138630, 0.143520, 9502194.357498
1568505600, 0.143480, 0.144420, 0.137060, 0.140290, 5101505.443252
1568592000, 0.140320, 0.140850, 0.130520, 0.136280, 4875396.807889
1568678400, 0.136260, 0.139100, 0.133860, 0.137230, 4956612.006586
1568764800, 0.137500, 0.138250, 0.133030, 0.134750, 6021966.549962
1568851200, 0.134730, 0.135390, 0.125800, 0.131630, 5925514.296709
1568937600, 0.131660, 0.133090, 0.125260, 0.125990, 5167708.896904
1569024000, 0.125690, 0.127720, 0.116300, 0.121280, 7538191.573604
1569110400, 0.120570, 0.125980, 0.115010, 0.121620, 6870074.520069
1569196800, 0.121650, 0.131420, 0.118460, 0.120600, 10028482.728163
1569283200, 0.120810, 0.124170, 0.064580, 0.088280, 21638458.827966
1569369600, 0.088280, 0.108360, 0.080080, 0.104660, 14189127.743262
1569456000, 0.104630, 0.108540, 0.093000, 0.102440, 15625288.751273
1569542400, 0.102460, 0.106900, 0.099000, 0.104350, 6728139.398142
1569628800, 0.104370, 0.108230, 0.102400, 0.104260, 6074871.530563
1569715200, 0.104230, 0.105360, 0.096280, 0.099620, 5120068.893257
1569801600, 0.099590, 0.103990, 0.096200, 0.101770, 3303293.563007
1569888000, 0.101770, 0.104990, 0.097000, 0.100450, 3199778.794743
1569974400, 0.100440, 0.101530, 0.097140, 0.098860, 1280779.276544
1570060800, 0.098840, 0.099000, 0.093010, 0.096670, 2077732.585244
1570147200, 0.096700, 0.118000, 0.089000, 0.106540, 13470542.264108
1570233600, 0.106570, 0.107670, 0.101420, 0.103560, 7671798.041790
1570320000, 0.103580, 0.103710, 0.095200, 0.096980, 8054866.730249
1570406400, 0.096940, 0.102850, 0.096590, 0.101360, 3683001.287891
1570492800, 0.101400, 0.102550, 0.095970, 0.098800, 3900335.133900
1570579200, 0.098780, 0.102000, 0.096300, 0.099470, 3301855.223836
1570665600, 0.099480, 0.100030, 0.093190, 0.095570, 3606895.312722
1570752000, 0.095590, 0.096170, 0.090490, 0.093420, 3255840.163055
1570838400, 0.093350, 0.097000, 0.091320, 0.093190, 2564708.881173
1570924800, 0.093180, 0.094570, 0.090140, 0.091490, 3638900.853987
1571011200, 0.091490, 0.093960, 0.090150, 0.092270, 4189267.085039
1571097600, 0.092300, 0.093550, 0.086790, 0.088580, 3744236.859907
1571184000, 0.088570, 0.089350, 0.081420, 0.084380, 5909539.377028
1571270400, 0.084350, 0.085570, 0.081420, 0.083910, 5207190.719459
1571356800, 0.083910, 0.086100, 0.079000, 0.080620, 5104250.945153
1571443200, 0.080640, 0.097960, 0.080320, 0.087960, 16352777.740387
1571529600, 0.087980, 0.090060, 0.084290, 0.088550, 7400199.189905
1571616000, 0.088510, 0.091410, 0.084000, 0.086230, 5949665.074977
1571702400, 0.086240, 0.088010, 0.084200, 0.084400, 3814215.792675
1571788800, 0.084380, 0.088000, 0.074290, 0.079740, 9346618.497064
1571875200, 0.079710, 0.087980, 0.077180, 0.082520, 8303397.558492
1571961600, 0.082930, 0.089000, 0.081550, 0.086270, 9368291.058684
1572048000, 0.086280, 0.095500, 0.082920, 0.084870, 12497404.454755
1572134400, 0.084850, 0.095150, 0.082110, 0.088610, 18640907.734211
1572220800, 0.088640, 0.098280, 0.087940, 0.088530, 20035020.981955
1572307200, 0.088550, 0.090770, 0.085710, 0.086810, 7334311.053163
1572393600, 0.086840, 0.087790, 0.080230, 0.083950, 6120428.579545
